rank_flo,rank_baseline,cbsa_code,cbsa_name,primary_city,state,is_candidate,demand_index,score_baseline,score_flo,score_flo_recalc,score_flo_error,demand_norm,w_demand,contrib_demand,enterprise_fit_norm,w_enterprise_fit,contrib_enterprise_fit,cloud_adjacency_norm,w_cloud_adjacency,contrib_cloud_adjacency,resilience_norm,w_resilience,contrib_resilience,capex_friction_norm,w_capex_friction,contrib_capex_friction
2,2,31100,"Los Angeles-Long Beach-Santa Ana, CA",Los Angeles,CA,True,364492.3,0.8371905149006048,0.6031959947638109,0.6031959947638109,0.0,0.8371905149006048,0.3,0.25115715447018144,1.0,0.2,0.2,0.7433689613648056,0.2,0.14867379227296112,0.9856902654825241,0.15,0.14785353982237862,0.9632566120114022,-0.15,-0.14448849180171033
4,4,19100,"Dallas-Fort Worth-Arlington, TX",Dallas,TX,True,266468.5,0.6120286272065963,0.3974464045317849,0.3974464045317849,0.0,0.6120286272065963,0.3,0.1836085881619789,0.7311993936996026,0.2,0.14623987873992053,0.29226290210865447,0.2,0.0584525804217309,0.9865888549723604,0.15,0.14798832824585406,0.9256198069179965,-0.15,-0.13884297103769946
9,7,26420,"Houston-Sugar Land-Baytown, TX",Houston,TX,True,176497.7,0.40536458066544917,0.25587850350390906,0.25587850350390906,0.0,0.40536458066544917,0.3,0.12160937419963475,0.49022117704751766,0.2,0.09804423540950354,0.12252728145378462,0.2,0.024505456290756927,0.9497318540174076,0.15,0.14245977810261112,0.8716022699906486,-0.15,-0.13074034049859729
13,13,38060,"Phoenix-Mesa-Glendale, AZ",Phoenix,AZ,True,130437.0,0.2995625799216765,0.20047809313360807,0.20047809313360807,0.0,0.2995625799216765,0.3,0.08986877397650295,0.3407124029668597,0.2,0.06814248059337194,0.1191215903571521,0.2,0.02382431807143042,0.9756054281482179,0.15,0.1463408142222327,0.8513219581995329,-0.15,-0.12769829372992994
17,16,40140,"Riverside-San Bernardino-Ontario, CA",Riverside,CA,True,100165.7,0.23002902734616276,0.15565974830356927,0.15565974830356927,0.0,0.23002902734616276,0.3,0.06900870820384883,0.35042379729059514,0.2,0.07008475945811903,0.04559602468191995,0.2,0.00911920493638399,0.845211667184673,0.15,0.12678175007770096,0.7955644958165569,-0.15,-0.11933467437248352
24,17,41740,"San Diego-Carlsbad-San Marcos, CA",San Diego,CA,True,92770.6,0.21304239067541586,0.13743356816304703,0.13743356816304703,0.0,0.21304239067541586,0.3,0.06391271720262476,0.2070950520760773,0.2,0.041419010415215465,0.10369682739037842,0.2,0.020739365478075686,0.8895211116427386,0.15,0.13342816674641078,0.8137712778618645,-0.15,-0.12206569167927968
58,34,12420,"Austin-Round Rock-San Marcos, TX",Austin,TX,True,58931.6,0.13531378682943604,0.11490529079694953,0.11490529079694953,0.0,0.13531378682943604,0.3,0.04059413604883081,0.11282035564422203,0.2,0.02256407112884441,0.15817638893279723,0.2,0.031635277786559446,0.9175746503782971,0.15,0.13763619755674456,0.7834959448268647,-0.15,-0.1175243917240297
96,36,41700,"San Antonio-New Braunfels, TX",San Antonio,TX,True,52905.2,0.12147107108082016,0.10554817818096038,0.10554817818096038,0.0,0.12147107108082016,0.3,0.036441321324246045,0.13483942512914535,0.2,0.026967885025829072,0.05181248868362136,0.2,0.010362497736724272,0.9705651426850413,0.15,0.1455847714027562,0.7587219820573015,-0.15,-0.11380829730859521
267,269,15180,"Brownsville-Harlingen, TX",Brownsville,TX,True,4406.3,0.010068494613850388,0.08204562111459181,0.08204562111459181,0.0,0.010068494613850388,0.3,0.003020548384155116,0.01367129379377985,0.2,0.00273425875875597,0.005038123622275807,0.2,0.0010076247244551614,0.9800277724610543,0.15,0.14700416586915815,0.47813984414621735,-0.15,-0.0717209766219326
291,172,32580,"McAllen-Edinburg-Mission, TX",McAllen,TX,True,7456.1,0.017073923143342076,0.07977205978568641,0.07977205978568641,0.0,0.017073923143342076,0.3,0.005122176943002622,0.021424471576882567,0.2,0.004284894315376513,0.012355329978416252,0.2,0.002471065995683251,0.9973019550953475,0.15,0.14959529326430213,0.5446758048845207,-0.15,-0.08170137073267811
311,109,21340,"El Paso, TX",El Paso,TX,True,13775.7,0.03159012293840263,0.07819521709091315,0.07819521709091315,0.0,0.03159012293840263,0.3,0.00947703688152079,0.04443546634419807,0.2,0.008887093268839614,0.018770100043972213,0.2,0.003754020008794443,0.9723472244149844,0.15,0.14585208366224767,0.5985001115365959,-0.15,-0.08977501673048938
330,94,46060,"Tucson, AZ",Tucson,AZ,True,17616.1,0.04041156950036075,0.07703163778359289,0.07703163778359289,0.0,0.04041156950036075,0.3,0.012123470850108224,0.050153525514212954,0.2,0.010030705102842591,0.01774982971544517,0.2,0.0035499659430890344,0.9702427164944208,0.15,0.14553640747416313,0.6280594105774006,-0.15,-0.09420891158661009
886,194,29700,"Laredo, TX",Laredo,TX,True,6248.3,0.01429959152227838,0.0058312920875817215,0.0058312920875817215,0.0,0.01429959152227838,0.3,0.004289877456683514,0.020893958729221115,0.2,0.0041787917458442235,0.001776132571914688,0.2,0.00035522651438293766,0.48600509745078485,0.15,0.07290076461761773,0.5059557883129779,-0.15,-0.07589336824694669
